NAME,ETHNICITY,SEX,LOC,ETHNICITY_RECAT,ETHNICITY_RECAT_V2,ETHNICITY_RECAT_V3,ETHNICITY_RECAT_V4
Edgar Lamarre,en,Male,"A, Québec (city/cité) (east/est), Quebec, Canada",en,en,en,en
Henry F Mckay,rus,Male,"J, Lunenburg, Nova Scotia, Canada",rus,rus,rus,rus
Melvin Carson,sc,Male,"C, Toronto (west/ouest) (city/cité), Ontario, Canada",sc,sc,sc,sc
Alceis Hamelin,ch,Male,"F, Bruce (east/est), Ontario, Canada",ch,ch,ch,ch
Freeman B Faddon,ir,Female,"P, Laval, Quebec, Canada",ir,ir,ir,ir
Melvin Miller,rus,Female,"A, Montréal (city/cité), Quebec, Canada",rus,rus,rus,rus
John Mcleod,ir,Female,"F, Victoria, New Brunswick, Canada",ir,ir,ir,ir
Martha A Erskine,others,Male,"B, Québec (county/comté), Quebec, Canada",others,others,others,others
Fidurd Carin,rus,Female,"A, Colchester, Nova Scotia, Canada",rus,rus,rus,rus
Boyd A Thompson,ab,Male,"Y, Algoma, Ontario, Canada",ab,,,
Ferdonam Schuman,fr,Female,"D, Victoria, British Columbia, Canada",fr,fr,fr,fr
Mank Chapman,ch,Female,"Y, Inverness, Nova Scotia, Canada",ch,ch,ch,ch
Corine Lefebvre,ja,Female,"I, Cape Breton, Nova Scotia, Canada",ja,ja,ja,ja
Emma L. Monat,sc,Female,"O, Brandon, Manitoba, Canada",sc,sc,sc,sc
Liggie Armstrong,sc,Male,"A, Oxford (south/sud), Ontario, Canada",sc,sc,sc,sc
Jessie Fraser,rus,Male,"K(1), Pictou, Nova Scotia, Canada",rus,rus,rus,rus
Silveter Reynolds,ja,Female,"N, Saint-jean & Iberville, Quebec, Canada",ja,ja,ja,ja
Sarah J Johnston,ab,Female,"G, Norfolk (north/nord), Ontario, Canada",ab,fn,fn,fn
Rose-anna Rufiange,fr,Female,"U, Drummond & Arthabaska, Quebec, Canada",fr,fr,fr,fr
Antoinette Dupont,others,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",others,others,others,others
Alex Mckinnon,others,Male,"L, Québec (county/comté), Quebec, Canada",others,others,others,others
Wasalyna Kostjuk,rus,Male,"H, Oxford (north/nord), Ontario, Canada",rus,rus,rus,rus
George Lamb,others,Female,"E, Hamilton (city/cité), Ontario, Canada",others,others,others,others
Samuel Pink,ch,Female,"C, Bothwell, Ontario, Canada",ch,ch,ch,ch
John G. Draker,ab,Male,"F, Simcoe (south/sud), Ontario, Canada",ab,inuit,inuit,inuit
Mongolfier,ab,Male,"A, Montréal (city/cité), Quebec, Canada",ab,,,
Ada Taylor,en,Female,"B, L'islet, Quebec, Canada",en,en,en,en
Robert J Gibson,ja,Female,"A, Stanstead, Quebec, Canada",ja,ja,ja,ja
Charles Briere,ir,Male,"T, Digby, Nova Scotia, Canada",ir,ir,ir,ir
Harry L Simon,en,Male,"F, Pictou, Nova Scotia, Canada",en,en,en,en
Hecales,sc,Female,"L, Wright, Quebec, Canada",sc,sc,sc,sc
Mary G Kitchen,fr,Male,"B, Montréal (city/cité), Quebec, Canada",fr,fr,fr,fr
Isabella King,it,Male,"J, Soulanges, Quebec, Canada",it,it,it,it
Libbie Mcduffee,ch,Male,"C, Montmagny, Quebec, Canada",ch,ch,ch,ch
Charles Maddaus,others,Female,"I, Hastings (north/nord), Ontario, Canada",others,others,others,others
Fanney Miller,fr,Male,"E, Kings, New Brunswick, Canada",fr,fr,fr,fr
Victor Laryille,sc,Female,"B, Peel, Ontario, Canada",sc,sc,sc,sc
Marina Bouthelier,ir,Male,"P, Compton, Quebec, Canada",ir,ir,ir,ir
Lillian Russel,fr,Female,"J, Wellington (north/nord), Ontario, Canada",fr,fr,fr,fr
John Dearnes,ab,Female,"D1, Algoma, Ontario, Canada",ab,,,
Edith Coughlin,fr,Male,"B, Lévis, Quebec, Canada",fr,fr,fr,fr
James Weir,ab,Male,"D, Restigouche, New Brunswick, Canada",ab,,,
John Milne,ja,Male,"F1, Rimouski, Quebec, Canada",ja,ja,ja,ja
Vernon Venables,sc,Male,"H, Trois-rivières & Saint-maurice, Quebec, Canada",sc,sc,sc,sc
Celina Demagare,ir,Male,"K, Gaspé, Quebec, Canada",ir,ir,ir,ir
Agness Porter,en,Male,"J, Guysborough, Nova Scotia, Canada",en,en,en,en
Rélina Eirikson,ch,Male,"G, Russell, Ontario, Canada",ch,ch,ch,ch
Jinnie R Tarrington,en,Female,"D, Toronto (west/ouest) (city/cité), Ontario, Canada",en,en,en,en
Meron Verochuk,others,Female,"G, Frontenac, Ontario, Canada",others,others,others,others
Margard Nicklin,ir,Female,"A, Victoria, Nova Scotia, Canada",ir,ir,ir,ir
Leon Grandmaitre,ir,Male,"J, Champlain, Quebec, Canada",ir,ir,ir,ir
Elizebeth Farries,ch,Female,"U, Drummond & Arthabaska, Quebec, Canada",ch,ch,ch,ch
Margaret Brand,sc,Female,"M, Trois-rivières & Saint-maurice, Quebec, Canada",sc,sc,sc,sc
Sarah J Ditchburn,ja,Male,"E, Albert, New Brunswick, Canada",ja,ja,ja,ja
George Eberle,others,Male,"B, Cumberland, Nova Scotia, Canada",others,others,others,others
Gladys M Duffey,rus,Female,"D, Peterborough (west/ouest), Ontario, Canada",rus,rus,rus,rus
Leoni Ostiguy,ja,Female,"B, Shelburne & Queens (shelburne), Nova Scotia, Canada",ja,ja,ja,ja
Milton Bedford,ja,Female,"F, Halifax (city/cité), Nova Scotia, Canada",ja,ja,ja,ja
William Brown,en,Female,"X, Inverness, Nova Scotia, Canada",en,en,en,en
Ivonne Goulet,rus,Male,"A, Drummond & Arthabaska, Quebec, Canada",rus,rus,rus,rus
Eugenie Stpierre,fr,Male,"O, Sunbury & Queens, New Brunswick, Canada",fr,fr,fr,fr
Mery E. Connelly,ja,Female,"F, Prince Edward, Ontario, Canada",ja,ja,ja,ja
Isala Claveau,fr,Female,"B, Montréal (city/cité), Quebec, Canada",fr,fr,fr,fr
Joseph Robert,ja,Female,"A, Toronto (centre) (city/cité), Ontario, Canada",ja,ja,ja,ja
Victoria Stevenson,sc,Male,"D, Ottawa (city/cité), Ontario, Canada",sc,sc,sc,sc
Edwin W Storey,sc,Female,"F, Bothwell, Ontario, Canada",sc,sc,sc,sc
Joseph S Farrow,fr,Male,"E, Wellington (south/sud), Ontario, Canada",fr,fr,fr,fr
Joseph Michaud,others,Male,"K, Stanstead, Quebec, Canada",others,others,others,others
Catrine Dubois,it,Male,"J, Queen's (east/est), Prince Edward Island, Canada",it,it,it,it
Maggie Walck,others,Male,"D, Middlesex (south/sud), Ontario, Canada",others,others,others,others
Mergret Mcknight,ch,Female,"C, Russell, Ontario, Canada",ch,ch,ch,ch
Alfred Damores,ab,Female,"J, Compton, Quebec, Canada",ab,metis,metis,metis
Mathias Lobel,fr,Male,"F, Trois-rivières & Saint-maurice, Quebec, Canada",fr,fr,fr,fr
Emelia Chaurest,it,Female,"A, Montréal (city/cité), Quebec, Canada",it,it,it,it
Severisa Dufault,ja,Male,"C, Bonaventure, Quebec, Canada",ja,ja,ja,ja
Leslie Hodgins,ja,Female,"P, Laval, Quebec, Canada",ja,ja,ja,ja
Harold Groves,rus,Male,"H, Essex (south/sud), Ontario, Canada",rus,rus,rus,rus
Julian Good,it,Female,"G, Pontiac, Quebec, Canada",it,it,it,it
Helen L Force,sc,Male,"A, Northumberland (west/ouest), Ontario, Canada",sc,sc,sc,sc
Fredk Hebb,ja,Female,"A, Brant (south/sud), Ontario, Canada",ja,ja,ja,ja
Alex Mcleod,en,Male,"F, Wentworth (south/sud), Ontario, Canada",en,en,en,en
Pierre Therriault,ab,Female,"D, Bellechasse, Quebec, Canada",ab,metis,metis,metis
James Muir,it,Male,"I, Kings, Prince Edward Island, Canada",it,it,it,it
Mable L Jones,ja,Male,"M, Kings, Prince Edward Island, Canada",ja,ja,ja,ja
William S Fucker,rus,Male,"E, Wellington (south/sud), Ontario, Canada",rus,rus,rus,rus
James Sloane,sc,Male,"J, York (east/est), Ontario, Canada",sc,sc,sc,sc
Joseph Atchitawins,it,Female,"F, Waterloo (south/sud), Ontario, Canada",it,it,it,it
Noel Chaliat,sc,Female,"C, Toronto (west/ouest) (city/cité), Ontario, Canada",sc,sc,sc,sc
George Thompson,ch,Female,"F, Perth (south/sud), Ontario, Canada",ch,ch,ch,ch
Elmire Vallée,others,Male,"L, Laprairie & Napierville, Quebec, Canada",others,others,others,others
Patrick Mcdonald,fr,Male,"O, Colchester, Nova Scotia, Canada",fr,fr,fr,fr
John Pilgrim,ir,Female,"P, Cumberland, Nova Scotia, Canada",ir,ir,ir,ir
William Towes,ja,Female,"Z, Labelle, Quebec, Canada",ja,ja,ja,ja
Izabela L Prosser,ja,Male,"E, Pontiac, Quebec, Canada",ja,ja,ja,ja
Georgina Burns,fr,Male,"G, Norfolk (north/nord), Ontario, Canada",fr,fr,fr,fr
Christina Rose,sc,Female,"A, Macdonald, Manitoba, Canada",sc,sc,sc,sc
Marie Anne Marseilles,sc,Male,"H, Ontario (north/nord), Ontario, Canada",sc,sc,sc,sc
Emily M Phoenix,ab,Male,"C, Shefford, Quebec, Canada",ab,metis,metis,metis
Eugene Martel,ch,Female,"E, Simcoe (east/est), Ontario, Canada",ch,ch,ch,ch
Louis Larouche,rus,Male,"G, Ottawa (city/cité), Ontario, Canada",rus,rus,rus,rus
David R Ronald,ir,Male,"A1, Drummond & Arthabaska, Quebec, Canada",ir,ir,ir,ir
Liza Racine,others,Female,"D, Burrard, British Columbia, Canada",others,others,others,others
Salie G Partridge,ir,Female,"C, Kingston (city/cité), Ontario, Canada",ir,ir,ir,ir
Bautte S Tenemblé,ja,Female,"D, Ontario (west/ouest), Ontario, Canada",ja,ja,ja,ja
Catherine Cloutier,it,Male,"K, Berthier, Quebec, Canada",it,it,it,it
Francis C Graham,it,Female,"A, Beauharnois, Quebec, Canada",it,it,it,it
John D Mcdonald,others,Male,"I, Rouville, Quebec, Canada",others,others,others,others
John Strub,rus,Male,"K, Essex (south/sud), Ontario, Canada",rus,rus,rus,rus
James Fanning,en,Female,"B, Québec (city/cité) (east/est), Quebec, Canada",en,en,en,en
Lawrence Leathorn,sc,Male,"E, Westmorland, New Brunswick, Canada",sc,sc,sc,sc
L Martha Publicove,it,Male,"E, Huntingdon, Quebec, Canada",it,it,it,it
Sophonia Hurbet,sc,Male,"K, Saint John (city/cité), New Brunswick, Canada",sc,sc,sc,sc
Re?? Gandel,it,Male,"D, Victoria, British Columbia, Canada",it,it,it,it
Joe Jèanne Fortine,sc,Female,"A, Montréal (city/cité), Quebec, Canada",sc,sc,sc,sc
Jos Oldham,sc,Female,"F, Maisonneuve, Quebec, Canada",sc,sc,sc,sc
Margaret M Forbes,ja,Female,"F, Hamilton (city/cité), Ontario, Canada",ja,ja,ja,ja
Francis E Farncomb,it,Male,"A, Cornwall & Stormont, Ontario, Canada",it,it,it,it
Edward Surrell,rus,Female,"F, Macdonald, Manitoba, Canada",rus,rus,rus,rus
Agnes Hansen,sc,Male,"K, Richelieu, Quebec, Canada",sc,sc,sc,sc
Edward Mclaughlin,ch,Male,"F, Middlesex (west/ouest), Ontario, Canada",ch,ch,ch,ch
John Carr,rus,Male,"J3, Algoma, Ontario, Canada",rus,rus,rus,rus
Lemie Dewald,ab,Male,"F, Yale & Cariboo, British Columbia, Canada",ab,metis,metis,metis
Marget A Neelin,ab,Female,"T, Nicolet, Quebec, Canada",ab,fn,fn,fn
Antonio Turcotte,ja,Female,"U, Drummond & Arthabaska, Quebec, Canada",ja,ja,ja,ja
L Tetrault,others,Female,"I, Mégantic, Quebec, Canada",others,others,others,others
Walter Mcillwain,it,Female,"B, Montréal (city/cité), Quebec, Canada",it,it,it,it
Emily F Jones,others,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",others,others,others,others
Napoléon Sthylaire,ir,Male,"B, Wellington (south/sud), Ontario, Canada",ir,ir,ir,ir
Bernard Lachapelle,rus,Female,"X, Labelle, Quebec, Canada",rus,rus,rus,rus
Jes X Martineau,en,Male,"A, Toronto (centre) (city/cité), Ontario, Canada",en,en,en,en
Albert Helde,sc,Male,"H, Middlesex (north/nord), Ontario, Canada",sc,sc,sc,sc
Harold Worsley,ch,Male,"J, Laval, Quebec, Canada",ch,ch,ch,ch
Gordon Beal,fr,Female,"A, Yale & Cariboo, British Columbia, Canada",fr,fr,fr,fr
Lizzie Shiever,ab,Female,"B, Lisgar, Manitoba, Canada",ab,fn,fn,fn
Roseanna Dancan,rus,Male,"E, Simcoe (east/est), Ontario, Canada",rus,rus,rus,rus
Albert Feer,it,Male,"F, York (east/est), Ontario, Canada",it,it,it,it
Caroline Hince,ch,Male,"H, Westmorland, New Brunswick, Canada",ch,ch,ch,ch
Mary Hughes,en,Female,"F2, Assiniboia (west/ouest), The Territories, Canada",en,en,en,en
Alexander Gartshore,sc,Female,"M, Cape Breton, Nova Scotia, Canada",sc,sc,sc,sc
Maggie Dykins,sc,Male,"A, Wentworth & Brant (north/nord), Ontario, Canada",sc,sc,sc,sc
Wilf Boissonnault,en,Male,"K, Saint-hyacinthe, Quebec, Canada",en,en,en,en
Charles O&#39;brien,ch,Male,"L, Provencher, Manitoba, Canada",ch,ch,ch,ch
Gean J Bt Gayet,ir,Male,"E, Westmorland, New Brunswick, Canada",ir,ir,ir,ir
Louis Picard,others,Male,"F, Maisonneuve, Quebec, Canada",others,others,others,others
Grace Deray,rus,Male,"F, York (east/est), Ontario, Canada",rus,rus,rus,rus
Henry Gardner,ir,Male,"A, Leeds & Grenville (north/nord), Ontario, Canada",ir,ir,ir,ir
Ada J Merrill,ch,Male,"C, Québec (county/comté), Quebec, Canada",ch,ch,ch,ch
Edouard Stcyr,ch,Female,"A, Québec (city/cité) (east/est), Quebec, Canada",ch,ch,ch,ch
Davilda Caron,ja,Male,"D, Welland, Ontario, Canada",ja,ja,ja,ja
John L Higgins,it,Male,"D, Waterloo (north/nord), Ontario, Canada",it,it,it,it
Vora Norrie,ab,Female,"F, Essex (north/nord), Ontario, Canada",ab,,,
Marvin Taylor,rus,Male,"D, Cornwall & Stormont, Ontario, Canada",rus,rus,rus,rus
Gorden E Maskell,others,Female,"A, Labelle, Quebec, Canada",others,others,others,others
Evangeline Arsenault,fr,Female,"R, Terrebonne, Quebec, Canada",fr,fr,fr,fr
Ellen A Hamilton,ab,Male,"A, Peel, Ontario, Canada",ab,inuit,inuit,inuit
Margret Pottinger,fr,Male,"D4, Alberta, The Territories, Canada",fr,fr,fr,fr
Emilie Arttman,it,Female,"K, Shelburne & Queens (shelburne), Nova Scotia, Canada",it,it,it,it
William S Bell,it,Male,"E, York (north/nord), Ontario, Canada",it,it,it,it
Ephriam Ellwood,others,Female,"C, Prince (east/est), Prince Edward Island, Canada",others,others,others,others
Sam Linton,ir,Female,"N, Chambly & Verchères, Quebec, Canada",ir,ir,ir,ir
Marie Mireault,ir,Female,"C, Portneuf, Quebec, Canada",ir,ir,ir,ir
Doris E Moyer,rus,Female,"G, Rouville, Quebec, Canada",rus,rus,rus,rus
Almaiede Mongeau,sc,Male,"C, Carleton, New Brunswick, Canada",sc,sc,sc,sc
Catherine Odell,rus,Male,"C, Bruce (north/nord), Ontario, Canada",rus,rus,rus,rus
Cater,fr,Male,"K1, Assiniboia (west/ouest), The Territories, Canada",fr,fr,fr,fr
Hattie Piner,fr,Female,"U4, Alberta, The Territories, Canada",fr,fr,fr,fr
Edward Harris,ir,Male,"P, Sunbury & Queens, New Brunswick, Canada",ir,ir,ir,ir
Albert Lacey,it,Female,"A, Kent, New Brunswick, Canada",it,it,it,it
Frank Sanders,ja,Male,"U, Peterborough (east/est), Ontario, Canada",ja,ja,ja,ja
Lily H Mcdonald,ir,Male,"G, Soulanges, Quebec, Canada",ir,ir,ir,ir
Joseph Bernard,ab,Male,"B, Halton, Ontario, Canada",ab,inuit,inuit,inuit
Charlotte Brown,ch,Male,"A, Montréal (city/cité), Quebec, Canada",ch,ch,ch,ch
Hartley Orr,fr,Female,"D, Brant (south/sud), Ontario, Canada",fr,fr,fr,fr
Joseph Browlen,ja,Male,"F, Hamilton (city/cité), Ontario, Canada",ja,ja,ja,ja
Richard Ross,it,Female,"C, Norfolk (north/nord), Ontario, Canada",it,it,it,it
Howard K Nesbeth,ch,Male,"I, Terrebonne, Quebec, Canada",ch,ch,ch,ch
Josephine Fournier,ab,Female,"H, Wellington (centre), Ontario, Canada",ab,metis,metis,metis
Clarent Mccharles,others,Male,"T1, Nipissing, Ontario, Canada",others,others,others,others
Marie Adèle Ouellette,ja,Female,"E, Richmond, Nova Scotia, Canada",ja,ja,ja,ja
Lena M Jones,ab,Female,"X1, Alberta, The Territories, Canada",ab,metis,metis,metis
Cecil Barber,sc,Female,"K, Stanstead, Quebec, Canada",sc,sc,sc,sc
Berthilde Soufnas,ir,Male,"H, York (east/est), Ontario, Canada",ir,ir,ir,ir
Edith Lewis,sc,Female,"L, Sunbury & Queens, New Brunswick, Canada",sc,sc,sc,sc
Alexandre Duguay,rus,Male,"F, Unorganized Territories/territoires Non-organisés, The Territories, Canada",rus,rus,rus,rus
